Customer Remarks,CSAT Score,cleaned_remarks
I AM REALLY APPRECIATE THAT YOUR CUSTOMER CARE EXECUTIVE UNDERSTAND MY QUERY AND SOLVED IT.,5,really appreciate customer care executive understand query solved
Very good ,5,good
return delivery is late,4,return delivery late
Very good ,5,good
Make call easy on customer care ,4,make call easy customer care
"For my existing complaint, I need to lodge another complaint.What a great service by Shopzilla. I everytime need to lodge complaint for each and every order. I am not a Shopzilla Plus member but ai feel like it's a tag to my profile that everytime you will need to lodge complaint or get in touch with Shopzilla support. It's not plus it's a curse",3,existing complaint need lodge another complaint great service shopzilla everytime need lodge complaint every order not shopzilla plus member ai feel like tag profile everytime need lodge complaint get touch shopzilla support not plus curse
Nice sirji,5,nice sirji
Verify seller before onboarding ,5,verify seller onboarding
Very nice support ?? ,5,nice support
Very polite and thank u??,5,polite thank u
Excellent   care service. So many Thanks to   service representative. ,5,excellent care service many thanks service representative
Excellent interaction with full satisfaction.  Thanks to Customer support Executive Mr.  .,5,excellent interaction full satisfaction thanks customer support executive mr
The customer service was very well... They are very supportive??,5,customer service well supportive
Whatever my issue are there it's sloved now I m very happy to shop on Shopzilla app it's a fantastic app wholeover the world thnxx Shopzilla ...????,4,whatever issue sloved happy shop shopzilla app fantastic app wholeover world thnxx shopzilla
Very nice ,5,nice
V good ,5,v good
Good service,5,good service
She gave me wrong information ,1,gave wrong information
It was nice to talk,2,nice talk
I want my order as soon as possible ,5,want order soon possible
Uable to solve my oroduct related issue not happy with the services,1,uable solve oroduct related issue not happy services
Very good ,5,good
Very good ,5,good
Very bed ,1,bed
I know that there is no returnable policy for a few items but if that item is defective or partially delivered then there should be an option to raise our concern directly from the   page.,5,know no returnable policy items item defective partially delivered option raise concern directly page
Her voice is really nice I am extremely happy with her voice ????,5,voice really nice extremely happy voice
Good service ,5,good service
There should be direct option to call customer care and talk to representative,5,direct option call customer care talk representative
Good ,5,good
Poor delevary ,1,poor delevary
Mind blowing ,5,mind blowing
Good work costume support,4,good work costume support
Very Very good ,5,good
Dear Shopzilla customer: why you Guies  say my order is cancelled and no any Amount deducted but till now my order is not cancelled  if I  want to cancelled my order Than charge pay 200 hundred who is Responsible foy this pay?? Best ,1,dear shopzilla customer guies say order cancelled no amount deducted till order not cancelled want cancelled order charge pay 200 hundred responsible foy pay best
Good interaction ,5,good interaction
Kindly make easy to contact customer care in case of serious issues to resolve the issue quickly.,5,kindly make easy contact customer care case serious issues resolve issue quickly
Increase staff salaries ,5,increase staff salaries
Veri good ,5,veri good
Very poor service of Shopzilla customer service no proper information given and no solution of our problems.Shopzilla totally waste of time and money ,1,poor service shopzilla customer service no proper information given no solution problems shopzilla totally waste time money
Very useful information about the customer thanking you medam ,5,useful information customer thanking medam
Delivery should be confirm and should be delivered on the exact date,5,delivery confirm delivered exact date
Very good ,5,good
I want return the product,2,want return product
Too good,5,good
Senear sport ,5,senear sport
Exllent ,5,exllent
Thankyou my dear customer,4,thankyou dear customer
"You have good communication skills are very good,you need a promotion for TL or SME atlist ",5,good communication skills good need promotion tl sme atlist
Use product moof set,5,use product moof set
Customer good support ,5,customer good support
Worst experience ,1,worst experience
Solve my issue p,5,solve issue p
Polite,5,polite
Bad experience ,2,bad experience
Excellent,5,excellent
Need fast Delevary ,3,need fast delevary
Very good support thanks,5,good support thanks
Not helpful,1,not helpful
Good,5,good
My issue is not resolved,3,issue not resolved
Nice Thank you ,5,nice thank
The guy helped me really fast he was very professional i loved it,5,guy helped really fast professional loved
Take least time to solve any issue,5,take least time solve issue
Very good,5,good
No,4,no
Agent was quite good and she is understanding and she is having a good nature,5,agent quite good understanding good nature
Very nice costomer support ,5,nice costomer support
Connecting time was very long ,4,connecting time long
Only ticket rises this is not solutions. Please foxes in resolution.,1,ticket rises not solutions please foxes resolution
Very helpfull and give sufficent time to listen my problem,5,helpfull give sufficent time listen problem
